ticker,report_date,free_cash_flow,share_issued
META,9/29/2023,"13,859,000","2,571,000"
META,6/29/2023,"11,093,000","2,573,000"
META,3/30/2023,"7,156,000","2,566,000"
META,12/31/2022,"5,468,000","2,614,000"
TSLA,9/29/2023,"848,000","3,179,000"
TSLA,6/29/2023,"1,005,000","3,174,000"
TSLA,3/30/2023,"440,000","3,169,000"
TSLA,12/31/2022,"1,420,000","3,164,000"
DIS,9/29/2023,"3,428,000","1,800,000"
DIS,6/29/2023,"1,637,000","1,800,000"
DIS,3/30/2023,"1,987,000","1,800,000"
DIS,12/31/2022,"-2,155,000","1,800,000"